timestamp,fault_type,severity
2025-01-01 00:00:01.500,machine_failure,Medium
2025-01-01 00:00:09.600,machine_failure,Medium
2025-01-01 00:00:11.700,machine_failure,Medium
2025-01-01 00:00:15.800,machine_failure,Medium
2025-01-01 00:00:16.000,machine_failure,Medium
2025-01-01 00:00:18.300,machine_failure,Medium
2025-01-01 00:00:22.400,machine_failure,Medium
2025-01-01 00:00:23.700,machine_failure,Medium
2025-01-01 00:00:26.600,machine_failure,Medium
2025-01-01 00:00:35.100,machine_failure,Medium
2025-01-01 00:00:42.200,machine_failure,Medium
2025-01-01 00:00:43.700,machine_failure,Medium
2025-01-01 00:00:47.600,machine_failure,Medium
2025-01-01 00:00:57.100,machine_failure,Medium
2025-01-01 00:00:58.900,machine_failure,Medium
2025-01-01 00:01:05.400,machine_failure,Medium
2025-01-01 00:01:08.100,machine_failure,Medium
2025-01-01 00:01:08.300,machine_failure,Medium
2025-01-01 00:01:10.200,machine_failure,Medium
2025-01-01 00:01:12.600,machine_failure,Medium
2025-01-01 00:01:18.700,machine_failure,Medium
2025-01-01 00:01:21.100,machine_failure,Medium
2025-01-01 00:01:57.300,machine_failure,Medium
2025-01-01 00:01:58.600,machine_failure,Medium
2025-01-01 00:02:02.200,machine_failure,Medium
2025-01-01 00:02:03.400,machine_failure,Medium
2025-01-01 00:02:03.500,machine_failure,Medium
2025-01-01 00:02:10.300,machine_failure,Medium
2025-01-01 00:02:16.900,machine_failure,Medium
2025-01-01 00:02:17.600,machine_failure,Medium
2025-01-01 00:02:17.700,machine_failure,Medium
2025-01-01 00:02:22.400,machine_failure,Medium
2025-01-01 00:02:25.500,machine_failure,Medium
2025-01-01 00:02:32.000,machine_failure,Medium
2025-01-01 00:02:49.000,machine_failure,Medium
2025-01-01 00:03:01.100,machine_failure,Medium
2025-01-01 00:03:13.600,machine_failure,Medium
2025-01-01 00:03:19.300,machine_failure,Medium
2025-01-01 00:03:23.900,machine_failure,Medium
2025-01-01 00:03:34.100,machine_failure,Medium
2025-01-01 00:03:34.300,machine_failure,Medium
2025-01-01 00:03:37.900,machine_failure,Medium
2025-01-01 00:03:38.800,machine_failure,Medium
2025-01-01 00:03:49.100,machine_failure,Medium
2025-01-01 00:03:51.100,machine_failure,Medium
2025-01-01 00:03:56.000,machine_failure,Medium
2025-01-01 00:03:59.400,machine_failure,Medium
2025-01-01 00:04:01.300,machine_failure,Medium
2025-01-01 00:04:03.300,machine_failure,Medium
2025-01-01 00:04:06.400,machine_failure,Medium
2025-01-01 00:04:09.900,machine_failure,Medium
2025-01-01 00:04:12.400,machine_failure,Medium
2025-01-01 00:04:14.100,machine_failure,Medium
2025-01-01 00:04:15.000,machine_failure,Medium
2025-01-01 00:04:15.300,machine_failure,Medium
2025-01-01 00:04:16.500,machine_failure,Medium
2025-01-01 00:04:17.600,machine_failure,Medium
2025-01-01 00:04:18.100,machine_failure,Medium
2025-01-01 00:04:19.000,machine_failure,Medium
2025-01-01 00:04:33.500,machine_failure,Medium
2025-01-01 00:04:41.300,machine_failure,Medium
2025-01-01 00:04:43.800,machine_failure,Medium
2025-01-01 00:04:46.000,machine_failure,Medium
2025-01-01 00:04:49.900,machine_failure,Medium
2025-01-01 00:04:55.600,machine_failure,Medium
2025-01-01 00:04:56.700,machine_failure,Medium
2025-01-01 00:05:06.800,machine_failure,Medium
2025-01-01 00:05:18.900,machine_failure,Medium
2025-01-01 00:05:22.300,machine_failure,Medium
2025-01-01 00:05:35.000,machine_failure,Medium
2025-01-01 00:05:56.800,machine_failure,Medium
2025-01-01 00:06:02.500,machine_failure,Medium
2025-01-01 00:06:09.300,machine_failure,Medium
2025-01-01 00:06:15.000,machine_failure,Medium
2025-01-01 00:06:16.400,machine_failure,Medium
2025-01-01 00:06:29.800,machine_failure,Medium
2025-01-01 00:06:35.500,machine_failure,Medium
2025-01-01 00:06:40.200,machine_failure,Medium
2025-01-01 00:06:54.500,machine_failure,Medium
2025-01-01 00:06:56.800,machine_failure,Medium
2025-01-01 00:06:59.500,machine_failure,Medium
2025-01-01 00:07:03.200,machine_failure,Medium
2025-01-01 00:07:03.500,machine_failure,Medium
2025-01-01 00:07:12.500,machine_failure,Medium
2025-01-01 00:07:15.200,machine_failure,Medium
2025-01-01 00:07:15.800,machine_failure,Medium
2025-01-01 00:07:26.100,machine_failure,Medium
2025-01-01 00:07:32.000,machine_failure,Medium
2025-01-01 00:07:32.800,machine_failure,Medium
2025-01-01 00:07:37.700,machine_failure,Medium
2025-01-01 00:07:49.200,machine_failure,Medium
2025-01-01 00:07:53.100,machine_failure,Medium
2025-01-01 00:08:02.100,machine_failure,Medium
2025-01-01 00:08:07.500,machine_failure,Medium
2025-01-01 00:08:20.300,machine_failure,Medium
2025-01-01 00:08:21.900,machine_failure,Medium
2025-01-01 00:08:24.300,machine_failure,Medium
2025-01-01 00:08:29.500,machine_failure,Medium
2025-01-01 00:08:30.100,machine_failure,Medium
2025-01-01 00:08:32.100,machine_failure,Medium
2025-01-01 00:08:32.900,machine_failure,Medium
2025-01-01 00:08:39.900,machine_failure,Medium
2025-01-01 00:08:40.800,machine_failure,Medium
2025-01-01 00:08:41.400,machine_failure,Medium
2025-01-01 00:08:43.800,machine_failure,Medium
2025-01-01 00:08:44.700,machine_failure,Medium
2025-01-01 00:08:46.300,machine_failure,Medium
2025-01-01 00:08:50.600,machine_failure,Medium
2025-01-01 00:08:58.500,machine_failure,Medium
2025-01-01 00:08:58.900,machine_failure,Medium
2025-01-01 00:09:05.800,machine_failure,Medium
2025-01-01 00:09:06.700,machine_failure,Medium
2025-01-01 00:09:11.200,machine_failure,Medium
2025-01-01 00:09:11.500,machine_failure,Medium
2025-01-01 00:09:23.500,machine_failure,Medium
2025-01-01 00:09:25.000,machine_failure,Medium
2025-01-01 00:09:28.700,machine_failure,Medium
2025-01-01 00:09:32.600,machine_failure,Medium
2025-01-01 00:09:46.000,machine_failure,Medium
2025-01-01 00:09:48.300,machine_failure,Medium
2025-01-01 00:09:54.200,machine_failure,Medium
2025-01-01 00:09:55.100,machine_failure,Medium
2025-01-01 00:09:55.600,machine_failure,Medium
2025-01-01 00:10:01.800,machine_failure,Medium
2025-01-01 00:10:05.600,machine_failure,Medium
2025-01-01 00:10:14.300,machine_failure,Medium
2025-01-01 00:10:14.600,machine_failure,Medium
2025-01-01 00:10:21.800,machine_failure,Medium
2025-01-01 00:10:24.800,machine_failure,Medium
2025-01-01 00:10:40.400,machine_failure,Medium
2025-01-01 00:10:47.400,machine_failure,Medium
2025-01-01 00:10:47.500,machine_failure,Medium
2025-01-01 00:10:54.000,machine_failure,Medium
2025-01-01 00:10:55.700,machine_failure,Medium
2025-01-01 00:11:11.100,machine_failure,Medium
2025-01-01 00:11:12.700,machine_failure,Medium
2025-01-01 00:11:16.400,machine_failure,Medium
2025-01-01 00:11:26.100,machine_failure,Medium
2025-01-01 00:11:32.600,machine_failure,Medium
2025-01-01 00:11:34.400,machine_failure,Medium
2025-01-01 00:11:38.500,machine_failure,Medium
2025-01-01 00:11:41.300,machine_failure,Medium
2025-01-01 00:11:49.800,machine_failure,Medium
2025-01-01 00:11:50.200,machine_failure,Medium
2025-01-01 00:11:53.300,machine_failure,Medium
2025-01-01 00:11:53.400,machine_failure,Medium
2025-01-01 00:11:58.100,machine_failure,Medium
2025-01-01 00:12:09.100,machine_failure,Medium
2025-01-01 00:12:13.200,machine_failure,Medium
2025-01-01 00:12:31.400,machine_failure,Medium
2025-01-01 00:12:32.000,machine_failure,Medium
2025-01-01 00:12:33.500,machine_failure,Medium
2025-01-01 00:12:33.900,machine_failure,Medium
2025-01-01 00:12:43.200,machine_failure,Medium
2025-01-01 00:12:54.100,machine_failure,Medium
2025-01-01 00:12:55.100,machine_failure,Medium
2025-01-01 00:12:58.600,machine_failure,Medium
2025-01-01 00:12:59.200,machine_failure,Medium
2025-01-01 00:12:59.900,machine_failure,Medium
2025-01-01 00:13:05.000,machine_failure,Medium
2025-01-01 00:13:07.500,machine_failure,Medium
2025-01-01 00:13:27.300,machine_failure,Medium
2025-01-01 00:13:30.700,machine_failure,Medium
2025-01-01 00:13:42.000,machine_failure,Medium
2025-01-01 00:13:52.000,machine_failure,Medium
2025-01-01 00:13:52.700,machine_failure,Medium
2025-01-01 00:13:54.500,machine_failure,Medium
2025-01-01 00:13:56.400,machine_failure,Medium
2025-01-01 00:13:58.900,machine_failure,Medium
2025-01-01 00:14:01.300,machine_failure,Medium
2025-01-01 00:14:08.300,machine_failure,Medium
2025-01-01 00:14:15.500,machine_failure,Medium
2025-01-01 00:14:19.600,machine_failure,Medium
2025-01-01 00:14:26.700,machine_failure,Medium
2025-01-01 00:14:29.400,machine_failure,Medium
2025-01-01 00:14:30.100,machine_failure,Medium
2025-01-01 00:14:30.800,machine_failure,Medium
2025-01-01 00:14:31.400,machine_failure,Medium
2025-01-01 00:14:59.800,machine_failure,Medium
2025-01-01 00:15:13.800,machine_failure,Medium
2025-01-01 00:15:23.500,machine_failure,Medium
2025-01-01 00:15:26.900,machine_failure,Medium
2025-01-01 00:15:35.100,machine_failure,Medium
2025-01-01 00:15:50.000,machine_failure,Medium
2025-01-01 00:15:51.600,machine_failure,Medium
2025-01-01 00:16:01.000,machine_failure,Medium
2025-01-01 00:16:01.800,machine_failure,Medium
2025-01-01 00:16:13.700,machine_failure,Medium
2025-01-01 00:16:16.200,machine_failure,Medium
2025-01-01 00:16:20.300,machine_failure,Medium
2025-01-01 00:16:32.200,machine_failure,Medium
2025-01-01 00:16:36.000,machine_failure,Medium
