timestamp,voltage,current,temperature,vibration,label,fault_type
2025-01-01T00:00:00,220.6,4.972,18.32,0.0762,0,none
2025-01-01T00:00:00.100000,218.83,4.883,42.32,0.014,1,overheating
2025-01-01T00:00:00.200000,225.05,4.71,47.34,-0.0263,1,overheating
2025-01-01T00:00:00.300000,221.21,4.043,57.28,0.0408,1,overheating
2025-01-01T00:00:00.400000,212.38,4.786,54.65,-0.0371,1,overheating
2025-01-01T00:00:00.500000,227.33,4.887,47.99,0.128,1,overheating
2025-01-01T00:00:00.600000,221.97,5.061,46.82,-0.0258,1,overheating
2025-01-01T00:00:00.700000,217.0,4.854,67.37,-0.0511,1,overheating
2025-01-01T00:00:00.800000,219.19,4.733,76.37,-0.0003,1,overheating
2025-01-01T00:00:00.900000,224.11,4.39,52.47,0.1389,1,overheating
2025-01-01T00:00:01,225.97,5.109,76.87,0.0441,1,overheating
2025-01-01T00:00:01.100000,219.42,4.849,55.55,0.0387,1,overheating
2025-01-01T00:00:01.200000,217.31,4.327,61.71,-0.044,1,overheating
2025-01-01T00:00:01.300000,221.62,4.807,42.98,0.0291,1,overheating
2025-01-01T00:00:01.400000,224.44,5.447,42.96,0.0377,1,overheating
2025-01-01T00:00:01.500000,215.8,4.845,74.52,-0.0754,1,overheating
2025-01-01T00:00:01.600000,225.5,4.911,53.01,-0.0205,1,overheating
2025-01-01T00:00:01.700000,224.06,5.678,75.49,-0.0519,1,overheating
2025-01-01T00:00:01.800000,219.62,5.486,62.45,0.0398,1,overheating
2025-01-01T00:00:01.900000,219.82,5.782,60.91,-0.0199,1,overheating
2025-01-01T00:00:02,219.7,4.291,60.34,0.0521,1,overheating
2025-01-01T00:00:02.100000,218.9,5.179,56.42,-0.0395,1,overheating
2025-01-01T00:00:02.200000,223.72,4.894,46.45,-0.0213,1,overheating
2025-01-01T00:00:02.300000,224.58,5.164,72.15,0.0686,1,overheating
2025-01-01T00:00:02.400000,220.88,4.845,44.4,0.0337,1,overheating
2025-01-01T00:00:02.500000,218.04,4.268,72.72,-0.1328,1,overheating
2025-01-01T00:00:02.600000,221.73,4.802,53.5,-0.0145,1,overheating
2025-01-01T00:00:02.700000,219.19,5.202,60.75,-0.0472,1,overheating
2025-01-01T00:00:02.800000,227.02,4.991,52.04,-0.0837,1,overheating
2025-01-01T00:00:02.900000,220.3,6.232,42.06,0.0239,1,overheating
2025-01-01T00:00:03,218.7,4.713,59.58,-0.0211,1,overheating
2025-01-01T00:00:03.100000,225.71,5.376,49.51,-0.0401,1,overheating
2025-01-01T00:00:03.200000,226.92,5.703,61.43,0.0696,1,overheating
2025-01-01T00:00:03.300000,215.05,4.717,41.63,0.0853,1,overheating
2025-01-01T00:00:03.400000,224.37,5.005,49.06,-0.0183,1,overheating
2025-01-01T00:00:03.500000,214.69,5.237,67.64,0.031,1,overheating
2025-01-01T00:00:03.600000,219.2,4.806,44.54,-0.0443,1,overheating
2025-01-01T00:00:03.700000,224.07,4.385,72.69,0.0682,1,overheating
2025-01-01T00:00:03.800000,232.7,4.838,75.89,-0.0103,1,overheating
2025-01-01T00:00:03.900000,221.3,5.391,53.56,0.065,1,overheating
2025-01-01T00:00:04,215.66,5.309,43.37,0.0609,1,overheating
2025-01-01T00:00:04.100000,221.47,4.643,40.2,0.0087,1,overheating
2025-01-01T00:00:04.200000,213.92,5.525,48.97,0.0663,1,overheating
2025-01-01T00:00:04.300000,215.13,5.394,53.02,0.0385,1,overheating
2025-01-01T00:00:04.400000,226.34,5.212,62.73,0.047,1,overheating
2025-01-01T00:00:04.500000,218.77,4.623,50.61,0.0439,1,overheating
2025-01-01T00:00:04.600000,218.8,5.605,60.11,0.0269,1,overheating
2025-01-01T00:00:04.700000,218.68,6.36,47.81,-0.0482,1,overheating
2025-01-01T00:00:04.800000,224.89,5.021,47.08,-0.0069,1,overheating
2025-01-01T00:00:04.900000,218.88,5.357,40.62,-0.0062,1,overheating
2025-01-01T00:00:05,223.7,4.774,55.4,0.0389,1,overheating
2025-01-01T00:00:05.100000,217.77,5.428,46.78,0.0355,1,overheating
2025-01-01T00:00:05.200000,220.46,5.315,43.89,0.0881,1,overheating
2025-01-01T00:00:05.300000,220.29,4.429,75.09,0.0436,1,overheating
2025-01-01T00:00:05.400000,225.33,4.52,51.74,0.0691,1,overheating
2025-01-01T00:00:05.500000,222.58,5.257,74.68,0.0012,1,overheating
2025-01-01T00:00:05.600000,224.36,5.719,66.0,0.0004,1,overheating
2025-01-01T00:00:05.700000,224.77,5.326,75.6,-0.0576,1,overheating
2025-01-01T00:00:05.800000,212.5,5.083,41.44,-0.0428,1,overheating
2025-01-01T00:00:05.900000,231.57,4.066,51.46,-0.0207,1,overheating
2025-01-01T00:00:06,220.4,4.553,60.89,-0.0167,1,overheating
2025-01-01T00:00:06.100000,216.42,5.34,64.92,0.1195,1,overheating
2025-01-01T00:00:06.200000,229.22,5.682,79.03,0.0414,1,overheating
2025-01-01T00:00:06.300000,209.87,5.093,71.81,-0.0222,1,overheating
2025-01-01T00:00:06.400000,211.65,4.614,46.93,0.0831,1,overheating
2025-01-01T00:00:06.500000,217.63,4.673,61.97,0.0473,1,overheating
2025-01-01T00:00:06.600000,226.33,5.189,64.47,0.0826,1,overheating
2025-01-01T00:00:06.700000,212.4,4.758,54.24,-0.0119,1,overheating
2025-01-01T00:00:06.800000,229.36,4.99,58.94,-0.0466,1,overheating
2025-01-01T00:00:06.900000,218.74,4.376,55.94,0.0772,1,overheating
2025-01-01T00:00:07,226.62,4.936,65.03,-0.0233,1,overheating
2025-01-01T00:00:07.100000,225.82,5.005,66.35,-0.0101,1,overheating
2025-01-01T00:00:07.200000,220.3,5.324,63.02,0.0063,1,overheating
2025-01-01T00:00:07.300000,227.93,4.381,58.33,0.0343,1,overheating
2025-01-01T00:00:07.400000,220.35,5.22,76.21,-0.0054,1,overheating
2025-01-01T00:00:07.500000,221.4,4.689,42.85,0.0442,1,overheating
2025-01-01T00:00:07.600000,217.68,4.689,67.87,-0.0178,1,overheating
2025-01-01T00:00:07.700000,224.5,5.154,69.4,-0.0315,1,overheating
2025-01-01T00:00:07.800000,224.38,5.276,72.27,-0.0355,1,overheating
2025-01-01T00:00:07.900000,219.9,5.059,54.88,-0.0335,1,overheating
2025-01-01T00:00:08,225.81,5.776,70.18,-0.022,1,overheating
2025-01-01T00:00:08.100000,226.53,5.011,52.8,-0.012,1,overheating
2025-01-01T00:00:08.200000,224.27,4.864,78.0,-0.0307,1,overheating
2025-01-01T00:00:08.300000,220.48,5.298,65.27,-0.0896,1,overheating
2025-01-01T00:00:08.400000,217.77,5.602,70.09,-0.0598,1,overheating
2025-01-01T00:00:08.500000,223.12,5.314,43.65,-0.035,1,overheating
2025-01-01T00:00:08.600000,219.96,3.955,75.51,0.0885,1,overheating
2025-01-01T00:00:08.700000,215.87,4.839,45.72,0.0307,1,overheating
2025-01-01T00:00:08.800000,226.79,4.783,72.87,0.0102,1,overheating
2025-01-01T00:00:08.900000,217.64,5.116,43.39,0.0577,1,overheating
2025-01-01T00:00:09,217.61,4.668,43.34,0.068,1,overheating
2025-01-01T00:00:09.100000,221.55,5.738,56.97,-0.0151,1,overheating
2025-01-01T00:00:09.200000,219.98,4.659,44.75,-0.0024,1,overheating
2025-01-01T00:00:09.300000,221.61,4.586,69.84,0.0246,1,overheating
2025-01-01T00:00:09.400000,220.44,4.277,74.74,-0.0422,1,overheating
2025-01-01T00:00:09.500000,221.12,5.006,42.95,0.0237,1,overheating
2025-01-01T00:00:09.600000,220.27,6.138,67.83,0.0203,1,overheating
2025-01-01T00:00:09.700000,230.77,4.616,63.37,-0.0055,1,overheating
2025-01-01T00:00:09.800000,224.88,4.274,47.52,0.0392,1,overheating
2025-01-01T00:00:09.900000,209.38,4.737,63.35,-0.0956,1,overheating
2025-01-01T00:00:10,221.81,5.286,46.5,0.0485,1,overheating
2025-01-01T00:00:10.100000,213.4,5.916,77.31,-0.0037,1,overheating
2025-01-01T00:00:10.200000,218.59,5.148,55.24,-0.0549,1,overheating
2025-01-01T00:00:10.300000,219.43,5.619,56.59,-0.0054,1,overheating
2025-01-01T00:00:10.400000,219.72,5.13,79.99,0.0151,1,overheating
2025-01-01T00:00:10.500000,220.03,5.023,70.76,-0.0157,1,overheating
2025-01-01T00:00:10.600000,212.0,4.316,66.87,0.0268,1,overheating
2025-01-01T00:00:10.700000,212.33,5.639,44.54,0.0121,1,overheating
2025-01-01T00:00:10.800000,230.24,5.057,74.09,0.0776,1,overheating
2025-01-01T00:00:10.900000,230.3,5.878,75.07,-0.051,1,overheating
2025-01-01T00:00:11,218.65,5.745,48.52,0.0439,1,overheating
2025-01-01T00:00:11.100000,225.29,4.121,55.69,0.0443,1,overheating
