timestamp,voltage,current,temperature,vibration,acoustic_strain,optical_osnr,optical_ber,optical_power,cable_distance_norm,cable_domain_id,label,fault_type
2026-06-01T12:00:00,0.0,0.0,12.0,0.0193,-0.023,25.13,-12.13,1.473,0.0,1,0,none
2026-06-01T12:00:00.100000,0.0,0.0,12.0,0.0163,-0.0517,24.95,-12.0,1.407,0.0,1,0,none
2026-06-01T12:00:00.200000,0.0,0.0,12.0,0.0225,0.1051,24.77,-11.96,1.551,0.0,1,0,none
2026-06-01T12:00:00.300000,0.0,0.0,12.0,0.0178,-0.06,25.11,-12.17,1.519,0.0,1,0,none
2026-06-01T12:00:00.400000,0.0,0.0,12.0,0.0145,-0.0614,25.06,-12.03,1.5,0.0,1,0,none
2026-06-01T12:00:00.500000,0.0,0.0,12.0,0.0138,-0.0525,24.88,-11.96,1.458,0.0,1,0,none
2026-06-01T12:00:00.600000,0.0,0.0,12.0,0.015,0.0088,24.6,-12.11,1.508,0.0,1,0,none
2026-06-01T12:00:00.700000,0.0,0.0,12.0,0.0171,-0.1301,24.93,-11.79,1.406,0.0,1,0,none
2026-06-01T12:00:00.800000,0.0,0.0,12.0,0.0195,0.0092,25.1,-11.89,1.563,0.0,1,0,none
2026-06-01T12:00:00.900000,0.0,0.0,12.0,0.0205,-0.0551,24.89,-12.08,1.402,0.0,1,0,none
2026-06-01T12:00:01,0.0,0.0,12.0,0.0202,-0.0671,24.66,-12.02,1.451,0.0,1,0,none
2026-06-01T12:00:01.100000,0.0,0.0,12.0,0.0156,0.0137,25.25,-11.98,1.45,0.0,1,0,none
2026-06-01T12:00:01.200000,0.0,0.0,12.0,0.0144,0.1429,25.17,-11.77,1.586,0.0,1,0,none
2026-06-01T12:00:01.300000,0.0,0.0,12.0,0.0175,-0.0573,24.76,-12.04,1.555,0.0,1,0,none
2026-06-01T12:00:01.400000,0.0,0.0,12.0,0.0217,0.0128,25.18,-12.02,1.474,0.0,1,0,none
2026-06-01T12:00:01.500000,0.0,0.0,12.0,0.0199,0.0332,24.7,-11.86,1.43,0.0,1,0,none
2026-06-01T12:00:01.600000,0.0,0.0,12.0,0.0168,0.0111,25.1,-12.0,1.413,0.0,1,0,none
2026-06-01T12:00:01.700000,0.0,0.0,12.0,0.0131,0.0197,24.58,-12.18,1.612,0.0,1,0,none
2026-06-01T12:00:01.800000,0.0,0.0,12.0,0.0209,-0.072,24.9,-12.04,1.443,0.0,1,0,none
2026-06-01T12:00:01.900000,0.0,0.0,12.0,0.0226,0.029,24.67,-11.84,1.582,0.0,1,0,none
2026-06-01T12:00:02,0.0,0.0,12.0,0.0191,-0.0498,25.11,-12.02,1.431,0.0,1,0,none
2026-06-01T12:00:02.100000,0.0,0.0,12.0,0.0237,0.0009,24.79,-12.01,1.554,0.0,1,0,none
2026-06-01T12:00:02.200000,0.0,0.0,12.0,0.0158,-0.0113,25.16,-12.24,1.452,0.0,1,0,none
2026-06-01T12:00:02.300000,0.0,0.0,12.0,0.0115,0.0366,24.97,-12.01,1.443,0.0,1,0,none
2026-06-01T12:00:02.400000,0.0,0.0,12.0,0.01,-0.0244,25.81,-11.91,1.359,0.0,1,0,none
2026-06-01T12:00:02.500000,0.0,0.0,12.0,0.01,-0.0062,24.89,-12.1,1.456,0.0,1,0,none
2026-06-01T12:00:02.600000,0.0,0.0,12.0,0.0128,-0.0059,24.82,-12.04,1.541,0.0,1,0,none
2026-06-01T12:00:02.700000,0.0,0.0,12.0,0.0181,0.031,24.73,-12.19,1.455,0.0,1,0,none
2026-06-01T12:00:02.800000,0.0,0.0,12.0,0.0211,0.1079,25.28,-11.92,1.565,0.0,1,0,none
2026-06-01T12:00:02.900000,0.0,0.0,12.0,0.0213,-0.0751,24.92,-11.91,1.458,0.0,1,0,none
2026-06-01T12:00:03,0.0,0.0,12.0,0.0233,0.0767,25.12,-12.0,1.548,0.0,1,0,none
2026-06-01T12:00:03.100000,0.0,0.0,12.0,0.0312,-0.0696,24.91,-11.88,1.476,0.0,1,0,none
2026-06-01T12:00:03.200000,0.0,0.0,12.0,0.0167,0.0586,24.71,-12.03,1.531,0.0,1,0,none
2026-06-01T12:00:03.300000,0.0,0.0,12.0,0.0229,0.0209,25.35,-11.9,1.583,0.0,1,0,none
2026-06-01T12:00:03.400000,0.0,0.0,12.0,0.0267,0.0421,25.31,-11.94,1.435,0.0,1,0,none
2026-06-01T12:00:03.500000,0.0,0.0,12.0,0.0279,0.0081,24.95,-12.07,1.531,0.0,1,0,none
2026-06-01T12:00:03.600000,0.0,0.0,12.0,0.0268,-0.0067,25.09,-12.07,1.537,0.0,1,0,none
