timestamp,voltage,current,temperature,vibration,acoustic_strain,optical_osnr,optical_ber,optical_power,cable_distance_norm,cable_domain_id,label,fault_type
2026-09-22 00:00:00,210.529,5.982,23.8,0.5543,0.00546,22.155,-6.9438,-4.885,0.0,2,0,none
2026-09-22 00:00:01,211.464,5.831,21.36,0.2773,0.01996,22.488,-7.0029,-4.891,0.002004008016032064,2,0,none
2026-09-22 00:00:02,208.658,5.455,24.55,0.2123,6e-05,22.507,-7.0375,-5.159,0.004008016032064128,2,0,none
2026-09-22 00:00:03,210.352,5.186,28.28,0.3753,0.01066,22.689,-6.7381,-4.866,0.0060120240480961915,2,0,none
2026-09-22 00:00:04,208.918,5.647,21.12,0.351,0.00688,21.953,-6.8321,-4.653,0.008016032064128256,2,0,none
2026-09-22 00:00:05,209.679,5.55,20.93,0.3118,0.00749,22.737,-6.7431,-5.055,0.01002004008016032,2,0,none
2026-09-22 00:00:06,209.533,5.92,28.37,0.5207,0.0196,21.418,-6.6964,-4.59,0.012024048096192383,2,0,none
2026-09-22 00:00:07,209.073,5.741,24.92,0.5673,0.03915,22.248,-6.7602,-4.702,0.014028056112224447,2,0,none
2026-09-22 00:00:08,210.236,5.76,20.23,0.4027,0.01336,22.305,-6.7013,-4.947,0.01603206412825651,2,0,none
2026-09-22 00:00:09,209.625,5.191,24.13,0.6812,0.00387,22.753,-6.8104,-4.828,0.018036072144288574,2,0,none
2026-09-22 00:00:10,209.731,5.948,20.14,0.1711,0.02696,22.509,-6.978,-4.48,0.02004008016032064,2,0,none
2026-09-22 00:00:11,209.732,5.548,20.27,0.3538,0.00031,21.938,-6.6413,-4.653,0.022044088176352703,2,0,none
2026-09-22 00:00:12,209.581,6.225,22.84,0.2659,0.03801,22.106,-6.8884,-4.798,0.024048096192384766,2,0,none
2026-09-22 00:00:13,209.001,5.189,14.21,0.0366,0.02046,22.579,-6.9403,-4.848,0.026052104208416832,2,0,none
2026-09-22 00:00:14,209.793,6.069,15.05,0.3672,0.03287,22.468,-6.8267,-4.785,0.028056112224448895,2,0,none
2026-09-22 00:00:15,210.538,5.538,19.86,0.3602,0.00782,22.268,-6.9369,-4.902,0.03006012024048096,2,0,none
2026-09-22 00:00:16,210.316,5.22,17.8,0.6936,0.02335,22.308,-6.8626,-5.221,0.03206412825651302,2,0,none
2026-09-22 00:00:17,208.627,5.165,22.98,0.5097,0.01448,22.778,-6.7484,-4.392,0.03406813627254509,2,0,none
2026-09-22 00:00:18,210.269,5.323,18.33,0.1958,0.01289,22.293,-6.7477,-4.769,0.03607214428857715,2,0,none
2026-09-22 00:00:19,210.221,5.56,16.41,0.7902,0.05478,22.465,-6.9347,-4.72,0.038076152304609215,2,0,none
2026-09-22 00:00:20,208.7,5.647,27.99,0.6293,0.02372,23.368,-6.8732,-4.812,0.04008016032064128,2,0,none
2026-09-22 00:00:21,210.512,5.393,21.06,0.5413,0.03081,21.931,-6.6389,-4.947,0.04208416833667334,2,0,none
2026-09-22 00:00:22,209.885,5.46,22.23,0.349,0.01106,21.759,-6.7255,-4.837,0.044088176352705406,2,0,none
2026-09-22 00:00:23,210.058,6.206,16.42,0.2157,0.00508,22.813,-6.4887,-5.12,0.04609218436873747,2,0,none
2026-09-22 00:00:24,208.492,6.118,19.64,0.3122,0.01508,22.229,-6.623,-4.345,0.04809619238476953,2,0,none
2026-09-22 00:00:25,208.63,5.631,22.41,0.6162,0.00765,22.373,-6.6284,-5.047,0.0501002004008016,2,0,none
2026-09-22 00:00:26,209.255,5.485,17.42,0.7559,0.0225,22.188,-7.0082,-5.006,0.052104208416833664,2,0,none
2026-09-22 00:00:27,210.41,5.524,23.55,0.725,0.03486,22.396,-6.6854,-4.888,0.05410821643286573,2,0,none
